Nome,Ultimo,%,Ora,Min,Max,Riferimento,,Link,SFDR
Ossiam Bloomberg World Pab Ucits Etf - 1a (Eur),,,,"116,98","116,98","116,90",,/borsa/etf/scheda/IE000IVQPCG4-XPAR.html?lang=it,Art. 9
Rize Environmental Impact 100 Ucits Etf,,,,,,"5,494",,/borsa/etf/scheda/IE00BLRPRR04-ETFP.html?lang=it,Art. 9
Rize Glob Sust Infrastructure Ucits Etf,,,,,,"5,549",,/borsa/etf/scheda/IE000QUCVEN9-ETFP.html?lang=it,Art. 9
Rize Sustainable Food Ucits Etf,"3,2065","-0,96",17:19:13,"3,2065","3,2435","3,215",,/borsa/etf/scheda/IE00BLRPQH31-ETFP.html?lang=it,Art. 9
Rize Sustainable Future Of Food Ucits Etf,"3,22","-0,49",17:08:17,"3,22","3,236","3,215",,/borsa/etf/scheda/IE00BLRPQH31-XAMS.html?lang=it,Art. 9
Rize Usa Environmental Impact Ucits Etf,,,,,,"5,666",,/borsa/etf/scheda/IE000PY7F8J9-ETFP.html?lang=it,Art. 9
Ubs Climate Aware Global Developed Equity Ctb Ucits Etf Usd Acc,,,,,,"19,084",,/borsa/etf/scheda/IE00BN4PXC48-ETFP.html?lang=it,Art. 9
Ubs Msci Acwi Climate Paris Aligned Ucits Etf Usd Acc,,,,,,"19,432",,/borsa/etf/scheda/IE00BN4Q0P93-ETFP.html?lang=it,Art. 9
Ubs Msci Em Climate Paris Aligned Ucits Etf Usd Acc,,,,,,"15,066",,/borsa/etf/scheda/IE00BN4Q1675-ETFP.html?lang=it,Art. 9
Ubs Msci Emu Climate Paris Aligned Ucits Etf Eur Acc,,,,,,"17,442",,/borsa/etf/scheda/IE00BN4Q0L55-ETFP.html?lang=it,Art. 9
Ubs Msci Europe Climate Paris Aligned Ucits Etf Eur Acc,,,,,,"17,956",,/borsa/etf/scheda/IE00BN4Q0933-ETFP.html?lang=it,Art. 9
Ubs Msci Japan Climate Paris Aligned Ucits Etf Ir-Heur Acc,,,,,,"22,80",,/borsa/etf/scheda/IE000JHYO4T6-ETFP.html?lang=it,Art. 9
Ubs Msci Japan Climate Paris Aligned Ucits Etf Jpy Acc,"15,586","+0,06",13:41:08,"15,544","15,62","15,548",,/borsa/etf/scheda/IE00BN4Q0X77-ETFP.html?lang=it,Art. 9
Ubs Msci Usa Climate Paris Aligned Ucits Etf Usd Acc,"21,02","-0,07",15:17:17,"21,015","21,02","21,055",,/borsa/etf/scheda/IE00BN4Q0602-ETFP.html?lang=it,Art. 9
Ubs Msci World Ex Usa Climate Paris Aligned Ucits Etf Usd Acc,"21,735","-0,89",11:26:50,"21,735","21,735","21,78",,/borsa/etf/scheda/IE00BN4Q0370-ETFP.html?lang=it,Art. 9
Ubs Sustainable Development Bank Bonds 1-5 Ucits Etf Heur Dis,,,,,,"7,192",,/borsa/etf/scheda/LU3065090717-ETFP.html?lang=it,Art. 9
