ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
LU1681042864,9.25,13.26,0.427,-9.93,,,8.15,4.24,
IE00BNGFMX61,12.71,21.43,0.426,-10.5,1.129,-2.081,2.07,,
LU1377382442,9.49,13.91,0.424,-10.49,,,4.7,4.32,
LU2870272577,8.89,12.91,0.41,-8.58,,,7.82,,
IE000AON7ET1,16.43,31.56,0.407,-17.63,,,6.23,,
IE000M86QRT4,8.55,12.28,0.404,-8.76,,,4.79,,
IE0009Y1MQJ2,9.94,15.88,0.4,-9.03,,,6.88,4.41,
IE000UZO4IC7,6.21,6.57,0.398,-3.98,,,2.21,,
IE000EETFH77,9.04,13.73,0.397,-9.71,,,8.68,4.1,
IE00B57X3V84,9.3,14.72,0.388,-9.42,1.002,-2.347,6.58,,
LU2641925016,8.24,12.13,0.383,-8.39,,,6.37,3.8,
IE00BM9GRP64,6.34,7.17,0.383,-4.02,0.275,0.536,2.15,,
IE00BFZPF322,6.21,7.02,0.373,-3.51,0.242,0.225,1.47,3.0,
IE000SM6I1K9,20.08,44.26,0.372,-11.87,,,0.0,,
LU2130768844,8.97,14.86,0.362,-10.62,,,5.25,3.98,
IE000QWCYQT0,8.26,12.92,0.361,-7.94,,,6.95,,
IE00BG0TQB18,5.36,4.96,0.357,-3.81,,,1.45,,
IE000IP0UC52,8.73,14.58,0.353,-11.44,,,9.04,,
IE0006IP4XZ8,7.86,12.22,0.349,-8.24,,,7.45,3.6,
IE00032YLFR3,7.58,11.59,0.344,-7.86,,,6.34,3.49,
IE00094KNQN4,4.82,3.59,0.341,-1.96,,,1.64,2.38,
LU2872292169,5.86,7.15,0.317,-4.69,,,2.93,,
LU1291104575,7.08,11.04,0.315,-7.72,,,7.07,,
IE000ZIJ5B20,7.84,13.84,0.307,-9.11,,,2.09,,
IE00BKY53D40,8.23,15.1,0.307,-12.24,0.803,-3.302,5.76,3.58,
LU2870272650,7.74,14.26,0.291,-10.17,,,8.61,,
IE0008TKP6O7,7.93,15.2,0.285,-12.23,,,9.23,,
IE000E7EI9P0,9.79,21.87,0.283,-16.26,,,13.78,,
LU2195226068,8.43,17.72,0.273,-11.13,,,5.43,3.47,
IE00BF553838,4.98,5.88,0.235,-4.29,0.313,-1.713,2.08,2.41,
IE000CL68Z69,6.93,14.3,0.233,-10.11,,,8.72,,
LU1602144906,6.64,13.84,0.22,-6.62,,,3.11,2.86,
IE00BP2C1V62,6.56,14.2,0.209,-10.12,1.027,-7.184,8.62,2.8,
IE00BKF09C98,4.47,4.48,0.195,-2.71,,,1.8,2.19,
IE000LGWDNE5,8.71,26.76,0.191,-15.5,1.474,-9.452,10.43,2.6,
IE000QQ8Z0D8,5.96,12.45,0.19,-9.15,,,7.41,,
IE000R85HL30,6.0,12.66,0.19,-8.33,,,6.27,,
IE000O36LOH8,3.75,0.82,0.186,-0.18,0.002,0.14,0.38,,
LU1681040900,4.06,2.56,0.184,-1.0,,,0.45,2.02,
LU1861132840,7.06,20.29,0.171,-14.54,,,12.79,2.52,
IE000F60HVH9,5.76,13.02,0.167,-8.72,,,7.82,,
LU2872292086,4.54,5.76,0.165,-4.01,,,2.58,,
IE00BMDPBY65,5.61,15.48,0.13,-11.32,,,4.52,,
IE000N42HDP2,4.89,10.53,0.124,-7.82,0.705,-4.367,4.43,,
LU1435356065,4.07,3.92,0.123,-2.75,0.237,-1.862,1.76,2.0,
IE00BJP26C72,3.83,2.08,0.112,-0.95,,,-0.69,1.91,
IE00BLP53M98,4.19,5.66,0.106,-4.08,,,2.44,,
IE00B52VJ196,4.89,14.7,0.088,-10.05,,,6.66,1.91,
LU1435356149,3.95,4.2,0.084,-2.79,0.247,-2.084,1.88,1.93,
IE0000U24AJ9,4.6,13.57,0.074,-9.6,,,7.09,,
IE00BFZPF439,3.97,5.74,0.066,-3.6,,,1.82,,
IE000V93BNU0,4.19,14.01,0.043,-9.95,0.994,-7.394,9.18,,
IE000AXIKJM8,4.15,13.8,0.04,-11.5,,,9.21,,
IE000AYEFBK6,3.7,2.95,0.035,-1.32,,,1.02,1.83,
LU1923163676,3.65,1.54,0.035,-0.37,,,0.21,1.82,
IE000XIBT2R7,3.83,9.89,0.024,-7.32,,,4.04,,
LU3024069877,3.9,20.2,0.015,-11.47,,,-2.68,0.92,
IE000ZWSN3F7,3.6,4.76,0.002,-3.31,0.279,-2.233,2.02,,
IE000SU7USQ3,3.46,12.26,-0.01,-8.76,,,7.32,,
LU2023678282,3.09,18.74,-0.027,-15.82,1.23,-12.66,12.51,0.67,
IE00BG0J4C88,2.98,21.79,-0.028,-11.65,1.18,-12.276,7.19,0.31,
IE000GE2BEZ9,3.48,3.7,-0.03,-2.66,,,1.52,1.71,
LU1547515053,3.41,5.57,-0.032,-4.27,,,2.23,,
IE000I7E6HL0,1.9,31.4,-0.054,-14.78,,,-4.26,,
LU2099295466,3.25,5.36,-0.063,-3.92,0.29,-3.204,1.69,1.56,
IE0008YWAFL1,3.36,3.01,-0.079,-1.33,,,0.94,1.66,
IE000W1AURU9,3.28,3.75,-0.082,-2.64,,,1.61,1.61,
FR0010527275,2.39,12.23,-0.099,-8.54,,,2.43,0.82,
IE00BJK55B31,3.14,4.48,-0.101,-2.56,0.209,-2.527,1.54,,
IE00069MGEE1,2.95,5.47,-0.117,-3.22,,,0.45,,
LU2059756598,1.67,15.22,-0.126,-10.26,,,7.03,,
IE000DYQE2Q3,2.61,7.63,-0.129,-4.12,,,1.94,,
IE00BYZK4776,1.08,18.14,-0.139,-12.1,0.923,-11.643,-0.32,-0.27,
IE0004D7VJE6,2.71,5.86,-0.151,-3.7,,,0.02,,
LU2872291948,2.82,5.03,-0.154,-3.69,,,1.96,,
IE000J4FE268,2.7,5.73,-0.156,-3.44,,,0.02,,
IE000BWITBP9,2.64,5.86,-0.163,-3.19,,,-0.77,1.23,
IE000EFHIFG3,0.54,16.39,-0.186,-14.88,,,9.4,,
LU1861137484,0.83,14.89,-0.186,-10.23,,,6.47,-0.13,
IE00BMDPBZ72,1.0,12.9,-0.201,-10.58,0.897,-9.805,7.76,,
IE00058B19U6,0.91,12.95,-0.207,-11.01,,,7.08,0.04,
IE000O2QIHN4,2.45,5.32,-0.215,-3.17,,,0.47,,
LU2244387887,-0.02,14.83,-0.243,-9.28,,,6.62,,
IE00BKVL7778,1.57,8.25,-0.245,-6.03,,,0.98,0.61,
IE000XG0ZRI7,2.34,4.68,-0.269,-3.1,,,1.3,,
LU2023678878,-2.51,22.34,-0.273,-21.43,1.304,-18.994,15.0,-2.44,
IE000N3TZN02,2.09,5.44,-0.276,-3.07,,,-0.54,,
IE0007G78AC4,2.23,4.69,-0.291,-2.3,,,0.82,1.06,
