ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE000929U2U9,5.41,2.25,0.27,4.72,2.93,-3.33,-0.27,-0.38,0.7498,0.621,0.903,1.626,1.118,7.218,,,,,,55.4
LU1215415214,5.98,1.93,-0.32,3.68,3.91,-3.52,-0.33,-0.5,0.6879,0.61,0.796,1.699,1.12,8.693,,,,,,49.9
LU1048316647,7.24,0.51,-0.88,5.41,6.52,-5.25,-0.57,-0.9,1.7298,0.56,0.783,1.38,1.107,4.186,,,,,,48.7
LU2158769930,7.27,3.23,3.05,11.6,6.69,-8.9,-0.68,-0.88,3.1653,0.55,0.878,0.817,1.098,2.297,,,,,,53.8
IE000XG0ZRI7,5.92,2.34,0.65,4.65,4.34,-4.31,-0.41,-0.6,0.8715,0.536,0.775,1.372,1.102,6.79,,,,,,54.2
LU2616774076,6.93,0.62,-0.98,5.35,6.24,-5.09,-0.54,-0.84,1.742,0.535,0.819,1.362,1.096,3.977,,,,,,52.7
IE000WX7BVB0,8.53,-1.22,1.8,1.41,9.49,-7.93,-0.83,-1.4,1.9766,0.52,0.632,1.075,1.1,4.316,,,,,,54.9
IE0003UVYC20,8.73,-1.0,1.85,1.41,11.02,-7.92,-1.05,-1.56,2.1077,0.466,0.616,1.101,1.087,4.141,,,,,,53.9
LU1852211215,5.35,0.62,0.72,4.03,3.79,-2.58,-0.38,-0.53,0.9453,0.464,0.669,2.074,1.079,5.663,,,,,,56.4
LU2484583302,6.16,0.96,-0.51,1.28,5.55,-2.43,-0.27,-0.44,0.7574,0.462,0.872,2.536,1.203,8.128,,,,,,19.1
IE000O2G7VL0,6.11,1.78,-0.53,3.38,5.45,-3.85,-0.45,-0.72,1.1885,0.461,0.541,1.587,1.11,5.14,,,,,,40.7
IE00BZ048462,4.6,0.69,2.01,7.51,2.29,-2.41,-0.12,-0.26,0.3169,0.439,0.535,1.912,1.115,14.512,,,,,,56.0
IE0006GNB732,5.94,1.92,-0.4,3.23,5.71,-7.83,-0.52,-0.84,1.7411,0.411,0.565,0.758,1.081,3.411,,,,,,54.2
LU2616776444,6.2,0.7,-0.97,5.56,6.57,-5.11,-0.58,-0.92,1.751,0.396,0.553,1.213,1.072,3.538,,,,,,53.1
IE0005FKEK99,6.02,2.63,0.2,4.56,6.34,-7.98,-0.62,-0.8,2.8396,0.383,0.617,0.754,1.068,2.12,,,,,,50.5
IE0006KNOFD1,5.49,2.46,-0.06,4.93,5.19,-4.74,-0.48,-0.71,1.6519,0.365,0.543,1.159,1.07,3.322,,,,,,52.3
LU2673523309,4.67,0.72,-0.51,1.67,3.01,-2.04,-0.3,-0.39,0.6797,0.359,0.554,2.295,1.064,6.876,,,,,,55.5
LU2673523218,4.16,0.37,0.63,1.97,1.67,-0.92,-0.14,-0.22,0.2535,0.341,0.493,4.53,1.065,16.419,,,,,,60.7
IE00BCLWRB83,5.21,1.67,1.86,7.49,4.87,-6.42,-0.45,-0.68,1.7591,0.332,0.499,0.811,1.058,2.962,,,,,,53.3
IE0006MM8VN6,5.45,1.64,-0.99,2.11,5.73,-7.19,-0.49,-0.75,2.5483,0.324,0.53,0.759,1.058,2.139,,,,,,51.8
IE000ZOI8OK5,4.24,0.36,0.34,1.89,2.04,-1.33,-0.18,-0.26,0.3752,0.317,0.503,3.178,1.056,11.297,,,,,,55.6
IE0006K7DEL9,4.24,0.5,-0.29,1.33,2.05,-1.73,-0.19,-0.25,0.4031,0.315,0.537,2.451,1.054,10.519,,,,,,55.2
IE0008UEVOE0,4.52,0.57,-0.4,1.68,3.04,-2.39,-0.25,-0.4,0.6732,0.305,0.432,1.89,1.056,6.716,,,,,,54.3
