ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU1287023003,-1.07,0.23,-1.43,-0.14,5.19,-16.86,-0.51,-0.7,10.0467,-0.898,-1.423,-0.063,0.855,-0.107,,,,,,48.7
LU2090062865,-1.08,0.22,-1.26,-0.05,5.2,-16.85,-0.51,-0.7,10.0341,-0.899,-1.425,-0.064,0.855,-0.107,,,,,,48.7
IE00BD9MMD49,1.81,0.46,1.13,3.24,1.98,-5.72,-0.17,-0.26,2.2703,-0.901,-1.399,0.316,0.845,0.796,,,,,,51.4
IE00BLRPRF81,-2.55,1.0,0.54,4.57,6.8,-20.96,-0.5,-1.13,13.8524,-0.903,-0.562,-0.122,0.758,-0.184,,,,,,23.8
IE00BLDGH553,-2.15,0.15,-1.43,-0.56,6.33,-21.23,-0.63,-0.85,14.1214,-0.907,-1.465,-0.101,0.857,-0.152,,,,,,46.9
FR0013346681,-1.88,0.24,1.06,2.01,5.99,-22.6,-0.65,-0.88,14.9555,-0.913,-1.245,-0.083,0.837,-0.125,,,,,,48.1
IE00B3S5XW04,-2.22,0.22,-1.36,-0.71,6.37,-21.75,-0.64,-0.84,14.478,-0.914,-1.503,-0.102,0.857,-0.154,,,,,,47.8
LU2018762653,-0.72,0.26,0.3,-0.67,4.72,-13.32,-0.44,-0.63,7.2971,-0.914,-1.513,-0.054,0.851,-0.099,,,,,,47.5
IE00BJK9HD13,-2.28,0.16,-1.67,-0.69,6.41,-21.83,-0.62,-0.85,14.556,-0.916,-1.483,-0.104,0.855,-0.156,,,,,,48.2
LU1931975152,-2.19,0.11,-1.4,-0.45,6.3,-21.46,-0.61,-0.83,14.2485,-0.918,-1.497,-0.102,0.856,-0.154,,,,,,48.5
IE00BZ163H91,-2.19,0.15,-1.46,-0.48,6.28,-21.48,-0.63,-0.84,14.2737,-0.921,-1.47,-0.102,0.855,-0.153,,,,,,48.9
IE00B41RYL63,-1.74,0.19,-1.13,-0.03,5.77,-19.92,-0.55,-0.78,12.9743,-0.924,-1.453,-0.087,0.853,-0.134,,,,,,48.4
