ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU2346257210,1.6,0.98,,,4.43,-3.28,-0.42,-0.57,1.008,-0.45,-0.743,0.488,0.92,1.589,,,,,,45.5
IE00BKVL7331,-0.24,1.89,-0.29,,8.4,-6.14,-0.95,-1.23,2.2017,-0.456,-0.639,-0.039,0.925,-0.109,,,,,,46.4
IE000IF0HTJ9,0.06,1.16,,,7.66,-5.66,-0.78,-1.02,2.2841,-0.461,-0.753,0.011,0.921,0.027,,,,,,46.0
LU1812090543,1.65,1.19,0.78,,4.16,-3.16,-0.39,-0.5,0.9759,-0.468,-0.786,0.521,0.912,1.687,,,,,,50.4
LU3028243122,1.9,0.75,,,3.44,-3.02,-0.34,-0.52,1.3692,-0.492,-0.561,0.63,0.906,1.388,,,,,,31.1
IE000FG3UNB8,0.94,1.82,,,5.34,-3.78,-0.51,-0.58,1.643,-0.497,-0.817,0.248,0.911,0.572,,,,,,57.1
IE000Y247W99,2.47,0.81,1.22,,2.23,-1.48,-0.24,-0.29,0.4712,-0.506,-0.794,1.67,0.919,5.233,,,,,,54.4
IE0006KNOFD1,0.47,1.86,,,6.14,-4.47,-0.53,-0.84,1.8757,-0.508,-0.749,0.106,0.909,0.253,,,,,,45.1
IE000VVC8KW9,0.48,2.0,,,6.03,-3.84,-0.61,-0.75,1.7322,-0.516,-0.766,0.125,0.907,0.276,,,,,,49.2
IE000GB2EQ90,2.04,0.71,,,2.94,-1.92,-0.34,-0.41,0.6146,-0.527,-0.772,1.065,0.915,3.32,,,,,,50.8
IE00BD4DX952,0.99,1.81,0.43,,4.83,-4.02,-0.45,-0.61,1.3478,-0.539,-0.863,0.246,0.91,0.735,,,,,,47.2
IE000M02BVY5,1.06,1.47,,,4.49,-3.58,-0.4,-0.59,1.1367,-0.563,-0.881,0.297,0.897,0.937,,,,,,46.3
IE0004HMINW0,1.1,0.38,,,4.33,-3.13,-0.47,-0.59,1.3071,-0.577,-0.838,0.351,0.899,0.84,,,,,,53.3
IE00BLRPRD67,0.83,1.18,0.36,,4.76,-2.46,-0.51,-0.67,0.9522,-0.58,-0.856,0.338,0.906,0.872,,,,,,48.0
IE000ZO4CUT7,1.45,1.37,,,3.55,-2.75,-0.37,-0.45,0.8441,-0.604,-0.955,0.528,0.9,1.718,,,,,,48.8
IE000S2QZKI8,0.26,1.12,,,5.42,-3.66,-0.54,-0.74,1.3419,-0.614,-0.922,0.071,0.896,0.194,,,,,,50.0
IE0002U1PIC8,1.19,0.92,,,3.85,-2.67,-0.44,-0.55,0.9645,-0.623,-0.884,0.446,0.899,1.235,,,,,,52.3
IE000IEOQSJ3,1.18,1.37,,,3.86,-3.57,-0.45,-0.54,1.0295,-0.627,-0.883,0.33,0.891,1.141,,,,,,54.8
IE000Q9IHH10,3.13,0.4,,,0.73,-0.3,-0.06,-0.1,0.0841,-0.631,-0.797,10.342,0.896,37.224,,,,,,62.6
LU3119430497,0.12,0.72,,,5.49,-3.91,-0.67,-0.75,1.6849,-0.632,-0.872,0.031,0.892,0.073,,,,,,55.8
