ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
IE0006GNB732,1.75,5.73,-0.321,-3.94,,,1.66,,
LU1525418726,2.47,3.29,-0.342,-2.62,,,1.14,1.2,
IE00BLRPRF81,1.34,6.4,-0.352,-4.59,,,1.0,,
IE00018U4PN8,1.63,5.36,-0.365,-3.03,,,0.28,,
IE000C5Q64P6,2.67,2.54,-0.365,-1.48,,,0.68,,
IE000EJ2EHO7,0.65,8.04,-0.366,-6.24,,,2.56,,
IE00066L6LB9,1.64,5.33,-0.366,-3.03,,,0.29,,
IE0005FKEK99,1.23,6.41,-0.368,-5.36,,,1.56,,
IE000O2G7VL0,1.7,4.92,-0.385,-3.4,,,1.1,,
IE0000UJ3480,1.48,5.5,-0.385,-3.27,,,-0.51,0.66,
IE000P0AMD16,1.47,5.44,-0.39,-3.3,,,-0.57,,
LU2099296274,1.16,6.15,-0.395,-3.13,,,0.94,,
IE00BF8J5974,2.76,2.02,-0.414,-1.07,,,0.63,1.37,
LU1435356495,1.62,4.54,-0.434,-2.61,,,1.41,,
IE000A0RC215,2.84,1.71,-0.438,-0.87,,,0.72,,
IE00BKLC5874,1.77,4.11,-0.444,-3.04,,,1.04,0.84,
IE000BAF6X29,-1.07,10.38,-0.449,-7.92,,,4.85,,
LU2346257210,1.6,4.43,-0.45,-3.28,,,0.98,,
IE00BKVL7331,-0.24,8.4,-0.456,-6.14,,,1.89,-0.29,
IE000IF0HTJ9,0.06,7.66,-0.461,-5.66,,,1.16,,
LU1812090543,1.65,4.16,-0.468,-3.16,,,1.19,0.78,
LU3028243122,1.9,3.44,-0.492,-3.02,,,0.75,,
IE000FG3UNB8,0.94,5.34,-0.497,-3.78,,,1.82,,
IE0006KNOFD1,0.47,6.14,-0.508,-4.47,,,1.86,,
IE000VVC8KW9,0.48,6.03,-0.516,-3.84,,,2.0,,
IE000GB2EQ90,2.04,2.94,-0.527,-1.92,,,0.71,,
IE00BD4DX952,0.99,4.83,-0.539,-4.02,,,1.81,0.43,
IE000M02BVY5,1.06,4.49,-0.563,-3.58,,,1.47,,
IE0004HMINW0,1.1,4.33,-0.577,-3.13,,,0.38,,
IE00BLRPRD67,0.83,4.76,-0.58,-2.46,,,1.18,0.36,
IE000ZO4CUT7,1.45,3.55,-0.604,-2.75,,,1.37,,
IE000S2QZKI8,0.26,5.42,-0.614,-3.66,,,1.12,,
IE0002U1PIC8,1.19,3.85,-0.623,-2.67,,,0.92,,
IE000IEOQSJ3,1.18,3.86,-0.627,-3.57,,,1.37,,
IE000Q9IHH10,3.13,0.73,-0.631,-0.3,,,0.4,,
LU3119430497,0.12,5.49,-0.632,-3.91,,,0.72,,
LU1806495575,0.7,4.55,-0.635,-2.66,,,1.03,0.3,
IE000HDPAH09,0.33,5.11,-0.639,-3.83,,,0.53,,
LU2244386053,0.95,4.02,-0.659,-3.15,,,1.17,0.43,
LU1852211215,1.53,3.12,-0.662,-1.41,,,0.64,,
IE00BKPSPT20,-3.43,10.6,-0.663,-8.8,,,2.17,,
IE000WYX67F4,1.41,3.26,-0.669,-2.48,,,0.92,0.68,
IE0003HV7CS6,1.45,3.14,-0.682,-2.2,,,1.01,,
LU1215415214,0.7,4.24,-0.682,-3.27,,,1.22,0.3,
IE0006MM8VN6,-0.41,5.69,-0.704,-4.62,,,1.31,,
IE000Y9XFN19,0.06,4.84,-0.731,-3.3,,,0.77,-0.03,
IE00BF59RV63,0.32,4.45,-0.734,-2.99,,,0.89,,
IE000HDEYKM3,1.24,3.17,-0.743,-2.99,,,1.22,,
LU3046359165,1.89,2.28,-0.745,-1.68,,,0.81,0.93,
IE000XFCOS45,1.94,2.2,-0.75,-1.7,,,0.88,0.96,
LU1285959885,0.08,4.65,-0.755,-2.89,,,1.0,-0.01,
IE00BLF7VX27,-0.18,4.88,-0.774,-2.89,,,0.94,,
LU1285959703,0.08,4.52,-0.778,-2.83,,,1.13,-0.01,
IE0009XKZC98,1.95,2.11,-0.779,-1.68,,,0.88,0.96,
IE0006FM6MI8,-6.8,13.28,-0.782,-11.47,,,-2.03,,
LU1563454401,-1.08,5.98,-0.782,-3.34,,,0.74,,
LU3119430224,0.06,4.51,-0.784,-3.13,,,0.67,,
IE000RJL5A30,0.31,4.16,-0.789,-2.93,,,1.06,0.11,
IE0008BU0XC3,-2.89,8.16,-0.795,-5.74,,,-0.4,,
IE000N0TTJQ9,-0.92,5.63,-0.801,-3.21,,,-0.29,,
IE000NHAIBN0,1.02,3.21,-0.803,-2.58,,,0.99,,
LU0879399441,-1.21,5.94,-0.808,-2.17,,,-0.7,,
LU1681041031,2.18,1.74,-0.816,-0.57,,,0.3,1.08,
IE00BL58LJ19,-0.9,5.48,-0.819,-3.4,,,0.98,-0.52,
IE000P0R7WK6,-0.74,5.23,-0.827,-2.92,,,-0.05,,
IE00BQQP9H09,-7.56,13.48,-0.827,-11.86,,,4.23,,
LU2941599164,2.99,0.72,-0.828,-0.29,,,0.42,,
IE00BK4W7N32,0.07,4.25,-0.831,-2.91,,,1.28,-0.01,
IE000WMJVNE9,-1.06,5.55,-0.838,-3.18,,,-0.33,,
IE000UJSC3C9,0.36,3.82,-0.846,-2.72,,,1.19,,
LU2742533552,-3.36,8.19,-0.85,-5.5,,,-0.51,,
FR001400SDQ1,-1.44,5.92,-0.851,-3.23,,,-0.28,-0.8,
IE0004MXQ328,-0.07,4.24,-0.863,-3.22,,,1.04,,
LU1215461085,-0.23,4.36,-0.875,-2.74,,,0.73,-0.16,
IE0005B8WVT6,-8.07,12.91,-0.903,-8.25,,,2.59,,
IE000JS4ANL9,-1.72,5.71,-0.931,-4.56,,,0.75,-0.93,
IE00BF51K025,0.08,3.69,-0.951,-2.45,,,1.3,,
IE00032L0R44,-1.06,4.81,-0.966,-3.34,,,1.06,-0.58,
LU1859444769,-0.49,4.21,-0.968,-2.93,,,0.67,-0.28,
LU1681041114,2.19,1.42,-0.984,-0.48,,,0.14,1.09,
IE000MCVFK47,0.01,3.62,-0.99,-2.61,,,0.45,,
IE00BMDBMN04,-0.82,4.41,-1.0,-3.3,,,0.54,,
